# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 11.0 Build 208 07/03/2011 Service Pack 1 SJ Full Version
# File: E:/Project/AX415/verilog/sdram_ov7670_rgb_vga_640480/sdram_ov7670_rgb_vga_640480/sdram_ov7670_vga.csv
# Generated on: Wed Mar 25 17:37:55 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,I/O Bank,VREF Group
CLOCK,Input,PIN_R9,,,,,,4,B4_N1
CMOS_DB[7],Input,PIN_M8,,,,,,3,B3_N0
CMOS_DB[6],Input,PIN_N9,,,,,,4,B4_N1
CMOS_DB[5],Input,PIN_P8,,,,,,3,B3_N0
CMOS_DB[4],Input,PIN_L7,,,,,,3,B3_N0
CMOS_DB[3],Input,PIN_M6,,,,,,3,B3_N1
CMOS_DB[2],Input,PIN_N8,,,,,,3,B3_N0
CMOS_DB[1],Input,PIN_N6,,,,,,3,B3_N1
CMOS_DB[0],Input,PIN_M7,,,,,,3,B3_N0
CMOS_HREF,Input,PIN_M9,,,,,,4,B4_N1
CMOS_PCLK,Input,PIN_M16,,,,,,5,B5_N0
CMOS_SCLK,Output,PIN_N11,,,,,,4,B4_N0
CMOS_SDAT,Bidir,PIN_P11,,,,,,4,B4_N0
CMOS_VSYNC,Input,PIN_M10,,,,,,4,B4_N0
CMOS_XCLK,Output,PIN_P9,,,,,,4,B4_N1
LED[3],Output,,,,,,,,
LED[2],Output,,,,,,,,
LED[1],Output,,,,,,,,
LED[0],Output,,,,,,,,
S_A[12],Output,PIN_A4,,,,,,8,B8_N1
S_A[11],Output,PIN_B5,,,,,,8,B8_N1
S_A[10],Output,PIN_D16,,,,,,6,B6_N0
S_A[9],Output,PIN_A5,,,,,,8,B8_N1
S_A[8],Output,PIN_B6,,,,,,8,B8_N0
S_A[7],Output,PIN_A6,,,,,,8,B8_N0
S_A[6],Output,PIN_B7,,,,,,8,B8_N0
S_A[5],Output,PIN_A7,,,,,,8,B8_N0
S_A[4],Output,PIN_C8,,,,,,8,B8_N0
S_A[3],Output,PIN_G16,,,,,,6,B6_N1
